class name: scp 	 label: 0 	 no. packet: 7000
class name: skype 	 label: 1 	 no. packet: 7000
class name: sftp 	 label: 2 	 no. packet: 7000
class name: aimchat 	 label: 3 	 no. packet: 7000
class name: facebook 	 label: 4 	 no. packet: 7000
class name: ftps 	 label: 5 	 no. packet: 7000
class name: netflix 	 label: 6 	 no. packet: 7000
class name: icq 	 label: 7 	 no. packet: 7000
class name: hangouts 	 label: 8 	 no. packet: 7000
class name: spotify 	 label: 9 	 no. packet: 7000
class name: gmail 	 label: 10 	 no. packet: 7000
class name: voipbuster 	 label: 11 	 no. packet: 7000
class name: bittorrent 	 label: 12 	 no. packet: 7000
class name: youtube 	 label: 13 	 no. packet: 7000
class name: email 	 label: 14 	 no. packet: 7000
class name: vimeo 	 label: 15 	 no. packet: 7000
Initial val. accuracy on unseen test data (not validation dataset): 96.2768%
Random Seed: 2024
-------------------- Start searching for the pruning and quantization policies ----------------------------------------
Saving state_dict checkpoint with masks for finetuning at networks/quantized_models/iscx2016vpn/CNN1D_TrafficClassification_iscx2016vpn.pt
Saving best model in onnx at networks/quantized_models/iscx2016vpn/model.onnx
Episode 134 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.611
Episode 135 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.607
Episode 136 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.614
Episode 137 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.527
Episode 138 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.568
Episode 139 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.587
Episode 140 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.554
Episode 141 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.599
Episode 142 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.630
Episode 143 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.551
Episode 144 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.533
Episode 145 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.640
Episode 146 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.646
Episode 147 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.672
Episode 148 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.562
Episode 149 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.673
-*-*-*-*-*-*-*-*-*-* start training the RL agent -*-*-*-*-*-*-*-*-*-*
Epoches 0 	 loss: 0.36001357436180115 	 
Epoches 5 	 loss: 0.36001357436180115 	 
-*-*-*-*-*-*-*-*-*-* start search the pruning policies -*-*-*-*-*-*-*-*-*-*
Episode 150 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.802
Episode 151 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.585
Episode 152 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.591
Episode 153 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.649
Episode 154 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.662
Episode 155 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.632
Episode 156 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.678
Episode 157 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.654
Episode 158 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.624
Episode 159 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.561
Episode 160 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.675
Episode 161 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.694
Episode 162 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.660
Episode 163 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.668
Episode 164 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.660
Episode 165 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.631
Episode 166 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.558
Episode 167 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.634
Episode 168 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.639
Episode 169 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.612
Episode 170 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.530
Episode 171 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.626
Episode 172 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.643
Episode 173 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.580
Episode 174 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.683
Episode 175 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.629
Episode 176 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.630
Episode 177 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.580
Episode 178 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.620
Episode 179 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.605
Episode 180 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.633
Episode 181 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.557
Episode 182 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.617
Episode 183 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.492
Episode 184 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.313
Episode 185 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.383
Episode 186 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.411
Episode 187 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.386
Episode 188 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.311
Episode 189 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.426
Episode 190 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.469
Episode 191 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.404
Episode 192 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.502
Episode 193 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.681
Episode 194 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.696
Episode 195 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.599
Episode 196 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.628
Episode 197 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.619
Episode 198 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.586
Episode 199 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.513
-*-*-*-*-*-*-*-*-*-* start training the RL agent -*-*-*-*-*-*-*-*-*-*
Epoches 0 	 loss: 0.3462313115596771 	 
Epoches 5 	 loss: 0.3462313115596771 	 
-*-*-*-*-*-*-*-*-*-* start search the pruning policies -*-*-*-*-*-*-*-*-*-*
Episode 200 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.660
Episode 201 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.566
Episode 202 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.514
Episode 203 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.552
Episode 204 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.535
Episode 205 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.574
Episode 206 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.421
Episode 207 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.448
Episode 208 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.459
Episode 209 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.430
Episode 210 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.362
Episode 211 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.501
Episode 212 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.693
Episode 213 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.495
Episode 214 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.510
Episode 215 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.507
Episode 216 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.449
Episode 217 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.530
Episode 218 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.604
Episode 219 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.641
Episode 220 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.676
Episode 221 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.557
Episode 222 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.669
Episode 223 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.641
Episode 224 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.544
Episode 225 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.670
Episode 226 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.596
Episode 227 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.686
Episode 228 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.558
Episode 229 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.631
Episode 230 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.622
Episode 231 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.453
Episode 232 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.456
Episode 233 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.504
Episode 234 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.547
Episode 235 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.413
Episode 236 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.515
Episode 237 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.492
Episode 238 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.455
Episode 239 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.387
Episode 240 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.403
Episode 241 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.439
Episode 242 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.427
Episode 243 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.355
Episode 244 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.482
Episode 245 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.446
Episode 246 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.367
Episode 247 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.590
Episode 248 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.512
Episode 249 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.469
-*-*-*-*-*-*-*-*-*-* start training the RL agent -*-*-*-*-*-*-*-*-*-*
Epoches 0 	 loss: 0.29539015889167786 	 
Epoches 5 	 loss: 0.29539015889167786 	 
-*-*-*-*-*-*-*-*-*-* start search the pruning policies -*-*-*-*-*-*-*-*-*-*
Episode 250 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.523
Episode 251 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.484
Episode 252 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.427
Episode 253 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.438
Episode 254 	 Avg length: 0 	 Avg reward: 5 	 Elapsed time 5.503
Episode 255 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.651
Episode 256 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.689
Episode 257 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.611
Episode 258 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.652
Episode 259 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.649
Episode 260 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.653
Episode 261 	 Avg length: 0 	 Avg reward: 7 	 Elapsed time 5.614
Episode 262 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.633
Episode 263 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.634
Episode 264 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.628
Episode 265 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.532
Episode 266 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.591
Episode 267 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.578
Episode 268 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.648
Episode 269 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.693
Episode 270 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.663
Episode 271 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.607
Episode 272 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.615
Episode 273 	 Avg length: 0 	 Avg reward: 6 	 Elapsed time 5.451
